restaurant_id,restaurant_name,neighborhood,website,candidate_id,thumbnail_url,source_url,source_kind,source_host,image_host,source_host_validation,review_state,promotion_review_state,rights_status,quality_flags,recommended_action
osm-node-5155336323-tempo-food-drink,Tempo food+drink,Downtown,,thumb-b4ce437b2a89c00de9,https://discoverhalifaxns.com/wp-content/uploads/2026/01/106913_menu_photo_e8b0d05d-592f-4bea-ab0c-076fc4dd4393.jpg,https://discoverhalifaxns.com/dinearound/menu/tempo-food-drink-at-the-barrington-hotel-dine-around-2026/?menu=lunch-20-2-course,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-771690675-the-carleton,The Carleton,Downtown,,thumb-d1386de9126fb721a0,https://discoverhalifaxns.com/wp-content/uploads/2026/01/106915_menu_photo_3db56725-c147-4b92-b5cc-5288523b5389.jpg,https://discoverhalifaxns.com/dinearound/menu/the-carleton-dine-around-menu/?menu=2-course-meal-for-40,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-6296953436-the-mercantile-social,The Mercantile Social,Waterfront,https://themercantilesocial.ca/,thumb-0bdf5312fa84ad23ae,https://discoverhalifaxns.com/wp-content/uploads/2026/01/107074_menu_photo_eb634120-88de-4575-9e06-38937486427a.jpg,https://discoverhalifaxns.com/dinearound/menu/the-mercantile-social-dine-around-menu-merc-2026/?menu=three-course-meal,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-1254843900-the-mic-mac-bar-and-grill,The Mic Mac Bar and Grill,Dartmouth,https://micmacbarandgrill.com/,thumb-b0055c6cd178852164,https://micmacbarandgrill.com/wp-content/uploads/2025/06/1-1.webp,https://micmacbarandgrill.com/,official_page_thumbnail_candidate,micmacbarandgrill.com,micmacbarandgrill.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,"confirm first-party page/image provenance, then visually review"
osm-node-1689418207-the-old-triangle-irish-pub,The Old Triangle Irish Pub,Downtown,https://www.oldtriangle.com/welcome/,thumb-327d04d14c11131178,https://discoverhalifaxns.com/wp-content/uploads/2026/01/106788_menu_photo_b4b13e75-702f-422b-85cd-3553df5895fe-rotated.jpg,https://discoverhalifaxns.com/dinearound/menu/the-old-triangle-irish-alehouse-dine-around-menu/?menu=2-course-dinner-for-30,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
the-press-gang,The Press Gang,Downtown,https://thepressgang.ca/,thumb-cba740158ca069454b,https://discoverhalifaxns.com/wp-content/uploads/2026/01/106928_menu_photo_e1c5e785-fa03-4fa2-81ac-e55abc5a3204.jpg,https://discoverhalifaxns.com/dinearound/menu/the-press-gang-restaurant-and-oyster-bar-dine-around-menu/?menu=3-course-dinner-for-60,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-3275051476-tim-hortons,Tim Hortons,Downtown,https://www.timhortons.com/,thumb-7d17fb71a574159bf0,https://sackvillebusiness.com/sites/default/files/styles/fun_category_shop/public/2023-05/Tim%20Hortons_1.jpeg?itok=g_TfbhFo,https://sackvillebusiness.com/shops-services/tim-hortons,directory_source_image,sackvillebusiness.com,sackvillebusiness.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-12984651963-toridori,Toridori,Downtown,,thumb-2842431d358a43c334,https://discoverhalifaxns.com/wp-content/uploads/2026/01/106939_menu_photo_8fc7c0f3-a84c-4682-b57c-e1e21430e171-1030x773.jpg,https://discoverhalifaxns.com/dinearound/menu/toridori-dine-around-2026/?menu=lunch-30,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-3804189857-trattoria-vesso,Trattoria Vesso,South End,,thumb-bcdc599bcb1e1bd15b,https://discoverhalifaxns.com/wp-content/uploads/2026/01/106564_menu_photo_aba03f14-7da6-484e-b849-e33d3633ed7b.jpg,https://discoverhalifaxns.com/dinearound/menu/trattoria-vesso-dine-around-menu/?menu=menu-del-singolo,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-4420631892-two-if-by-sea,Two if By Sea,Dartmouth,https://www.twoifbyseacafe.ca/,thumb-45b9696269a0ef3afc,https://twoifbyseacafe.ca/wp-content/uploads/2020/09/easy-seafood-platter-155604-2-300x200.jpg,https://twoifbyseacafe.ca/,official_page_thumbnail_candidate,twoifbyseacafe.ca,twoifbyseacafe.ca,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,"confirm first-party page/image provenance, then visually review"
osm-node-771698137-waterfront-warehouse,Waterfront Warehouse,Waterfront,https://www.rcr.ca/restaurants/waterfront-warehouse/,thumb-256690280e9a903db0,https://www.rcr.ca/content/uploads/2023/04/cable-wharf-kitchen-patio-4-1920x1006.jpg,https://www.rcr.ca/restaurants/cable-wharf-kitchen-patio/,official_page_thumbnail_candidate,rcr.ca,rcr.ca,,rejected,low_quality_metadata,rejected,reviewed_rejected_source_mismatch_other_restaurant_brand,"confirm first-party page/image provenance, then visually review"
osm-way-96322798-wooden-monkey,Wooden Monkey,Downtown,https://www.thewoodenmonkey.ca/,thumb-84545519025c5c8859,https://discoverhalifaxns.com/wp-content/uploads/2026/01/106935_menu_photo_9fdf3e22-7757-488b-b623-55004caed5dd-rotated.jpg,https://discoverhalifaxns.com/dinearound/menu/the-wooden-monkey-halifax-dine-around-2026/?menu=dine-around-3-courses-50,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
